,Simulacion356
2023-01-02,81.73999786376953
2023-01-03,82.5586657401431
2023-01-04,84.06900517949195
2023-01-05,85.05217257460082
2023-01-06,86.88771588574032
2023-01-09,85.35873905133455
2023-01-10,88.18760743548125
2023-01-11,87.21463758954883
2023-01-12,88.34640473835351
2023-01-13,85.65882855155438
2023-01-16,86.15427360648324
2023-01-17,88.10182525226864
2023-01-18,86.62501646429472
2023-01-19,86.75921494677176
2023-01-20,84.62453208078045
2023-01-23,84.20271166884163
2023-01-24,83.08515684302428
2023-01-25,84.02020245400155
2023-01-26,82.48464619176002
2023-01-27,81.94078009249881
2023-01-30,84.06730048890027
2023-01-31,83.72878090232352
2023-02-01,83.1914905244083
2023-02-02,81.37668985650261
2023-02-03,83.60429367237401
2023-02-06,87.32615385615964
2023-02-07,85.19000038655057
2023-02-08,86.03575209161377
2023-02-09,86.43147935328477
2023-02-10,87.53869352969909
2023-02-13,88.46209942551961
2023-02-14,89.57504067687198
2023-02-15,90.56315067097314
2023-02-16,87.00661736677688
2023-02-17,87.08719051218233
2023-02-20,88.16513904425685
2023-02-21,89.12297761252358
2023-02-22,90.00511027947378
2023-02-23,89.00184170216491
2023-02-24,88.8655568771427
2023-02-27,90.45033444780006
2023-02-28,91.08403181153503
2023-03-01,91.97256431715206
2023-03-02,94.23868187730511
2023-03-03,94.89790817073808
2023-03-06,93.45998795256028
2023-03-07,94.38439590421041
2023-03-08,94.44923135642107
2023-03-09,99.10881203620791
2023-03-10,98.96305685092044
2023-03-13,100.36798298213697
2023-03-14,104.80142992616459
2023-03-15,106.64705006556677
2023-03-16,105.73461002112997
2023-03-17,109.58498637470817
2023-03-20,112.7632444222529
2023-03-21,111.94744915235572
2023-03-22,109.62708264755337
2023-03-23,108.60844198404057
2023-03-24,107.42591523386409
2023-03-27,111.01205389557646
2023-03-28,109.27726179978075
2023-03-29,110.10570637364376
2023-03-30,107.04430657724994
2023-03-31,106.10255118441069
2023-04-03,106.1815601548378
2023-04-04,107.0343550317452
2023-04-05,109.7184683990802
2023-04-06,112.13268159726242
2023-04-07,111.33987830529097
2023-04-10,115.84717018034861
2023-04-11,114.69390731098592
2023-04-12,114.73628321558863
2023-04-13,114.98378417904024
2023-04-14,119.11203602837553
2023-04-17,120.11093141380076
2023-04-18,115.87142755866697
2023-04-19,115.74500767844077
2023-04-20,119.38302258065592
2023-04-21,115.51728493807465
2023-04-24,118.70205178386534
2023-04-25,118.0678867729532
2023-04-26,119.06567449280841
2023-04-27,118.55281267438312
2023-04-28,118.61701505360371
2023-05-01,121.5081490664054
2023-05-02,119.4654730592296
2023-05-03,120.61295863870137
2023-05-04,122.72940733949127
2023-05-05,125.93492242787983
2023-05-08,123.61724162138138
2023-05-09,125.88595603222657
2023-05-10,126.70300558286982
2023-05-11,127.13290154250483
2023-05-12,124.46081757345341
2023-05-15,124.27657724454568
2023-05-16,126.5294788384107
2023-05-17,125.28498136644984
2023-05-18,124.46189692793025
2023-05-19,124.75695653403208
2023-05-22,123.1065328228348
2023-05-23,123.86753134615886
2023-05-24,118.74193981449689
2023-05-25,119.4412800867136
2023-05-26,123.62620590985384
2023-05-29,126.5722383348192
2023-05-30,129.52005624803556
2023-05-31,129.28869051291065
2023-06-01,132.57827067868945
2023-06-02,129.65429784159556
2023-06-05,130.95523494938075
2023-06-06,134.123837146713
2023-06-07,138.52851998943135
2023-06-08,135.6413736260817
2023-06-09,133.55402013632977
2023-06-12,138.00588320846643
2023-06-13,139.8935735966013
2023-06-14,144.82601960767698
2023-06-15,148.23515780610785
2023-06-16,148.58731041257414
2023-06-19,145.07328524555507
2023-06-20,146.1941859788901
2023-06-21,145.12430531029372
2023-06-22,142.3958017037848
2023-06-23,137.9192163289214
2023-06-26,139.07284701543898
2023-06-27,140.9862856555059
2023-06-28,141.13519231214633
2023-06-29,143.79417977135546
2023-06-30,140.658820824754
2023-07-03,138.97653008987348
2023-07-04,141.65718363460726
2023-07-05,145.0100029045191
2023-07-06,145.76238739712687
2023-07-07,143.51503622027306
2023-07-10,142.16533989219639
2023-07-11,138.97386391458932
2023-07-12,140.1386491775369
2023-07-13,142.49574227677456
2023-07-14,139.28148287517288
2023-07-17,137.7105917736702
2023-07-18,141.35390530949334
2023-07-19,141.25900523644825
2023-07-20,138.68346814371654
2023-07-21,139.20871049947337
2023-07-24,139.57635592912018
2023-07-25,141.01431386603903
2023-07-26,143.15341490852379
2023-07-27,144.62360936672408
2023-07-28,149.3809013668773
2023-07-31,145.4435035781525
2023-08-01,144.36266852486963
2023-08-02,142.7752083544488
2023-08-03,143.71430095189973
2023-08-04,143.23511176794332
2023-08-07,148.94452343291476
2023-08-08,149.64381784754283
2023-08-09,153.40576388283813
2023-08-10,153.08220668662256
2023-08-11,152.82915929732405
2023-08-14,154.9425012661837
2023-08-15,152.19781659768148
2023-08-16,150.71047584618447
2023-08-17,152.0176365497852
2023-08-18,153.89012846195618
2023-08-21,153.8313940643473
2023-08-22,152.69348541672093
2023-08-23,155.28304231131872
2023-08-24,154.53013748886104
2023-08-25,158.32892099085197
2023-08-28,154.16375378653345
2023-08-29,155.56431457728957
2023-08-30,154.9091399762859
2023-08-31,151.42338727608436
2023-09-01,152.10225196528927
2023-09-04,151.56754807365851
2023-09-05,154.2960125029961
2023-09-06,156.16377143765058
2023-09-07,155.21079932540616
2023-09-08,160.66958446895936
2023-09-11,161.09205377417163
2023-09-12,163.78893866307916
2023-09-13,164.6293393659241
2023-09-14,162.62491451833185
2023-09-15,160.0286770234746
2023-09-18,161.59110486324826
2023-09-19,165.47200861626223
2023-09-20,164.12789117973153
2023-09-21,163.82388160667566
2023-09-22,168.11357664935835
2023-09-25,165.73103212185956
2023-09-26,163.3991122203091
2023-09-27,162.82382204182974
2023-09-28,160.2738072351198
2023-09-29,158.95781583432128
2023-10-02,153.07997422656146
2023-10-03,152.46709743297134
2023-10-04,150.80178248878914
2023-10-05,157.2067893992981
2023-10-06,156.08615786484782
2023-10-09,153.22342813936658
2023-10-10,152.42801950409483
2023-10-11,147.31927583026234
2023-10-12,143.72067701378108
2023-10-13,143.20044905506003
2023-10-16,141.65373643990714
2023-10-17,137.49203568978683
2023-10-18,137.77450079735112
2023-10-19,139.77133713282606
2023-10-20,143.07935750199994
2023-10-23,144.10692818858175
2023-10-24,144.65829944349073
2023-10-25,145.0118055801243
2023-10-26,145.7070192794828
2023-10-27,149.00898080454004
2023-10-30,148.85251291459977
2023-10-31,150.24645417270273
2023-11-01,149.40891255221086
2023-11-02,150.2754501261446
2023-11-03,149.2436434162854
2023-11-06,148.516084183973
2023-11-07,148.59765589034507
2023-11-08,147.9081982228708
2023-11-09,147.58095663736714
2023-11-10,147.44249641262414
2023-11-13,145.04858303124894
2023-11-14,142.47746370995912
2023-11-15,147.317090822936
2023-11-16,146.05941743198687
2023-11-17,142.80215437300018
2023-11-20,142.44401971019948
2023-11-21,145.28483975574912
2023-11-22,144.33802703031273
2023-11-23,143.07301042229716
2023-11-24,144.90257907384762
2023-11-27,144.73149584700863
2023-11-28,144.47164157354786
2023-11-29,148.06238573693523
2023-11-30,147.0210798325129
2023-12-01,145.0694318830125
2023-12-04,142.50067177987307
2023-12-05,142.19207067044846
2023-12-06,142.44398789184515
2023-12-07,142.35214181764897
2023-12-08,143.42120328257494
2023-12-11,143.7302693875065
2023-12-12,143.70486119866192
2023-12-13,149.5253095884133
2023-12-14,150.68985524116792
2023-12-15,152.23141425344275
2023-12-18,152.3064077297546
2023-12-19,147.69939949913956
2023-12-20,145.7816018375948
2023-12-21,146.31664320559898
2023-12-22,146.07704373458571
2023-12-25,141.3244693707137
2023-12-26,141.2534145919643
2023-12-27,140.2682735435217
2023-12-28,138.4542904788539
2023-12-29,134.45206661311664
2024-01-01,132.82508268482715
2024-01-02,132.79776519007257
2024-01-03,128.4385657503936
2024-01-04,129.36813117044667
2024-01-05,130.36285015729104
2024-01-08,133.07283989025126
2024-01-09,132.71373556096754
2024-01-10,129.11058238696563
2024-01-11,131.1153506080648
2024-01-12,129.5202819918853
2024-01-15,133.76983773622015
2024-01-16,131.6221222488576
2024-01-17,132.8692515666266
2024-01-18,130.18134933706196
2024-01-19,128.85394186323768
2024-01-22,131.3364219102758
2024-01-23,130.71373061143228
2024-01-24,133.03445407162513
2024-01-25,131.89132168762134
2024-01-26,129.77694131650586
2024-01-29,127.71440671461883
2024-01-30,130.30819871572413
2024-01-31,130.57672550390222
2024-02-01,128.24842158879355
2024-02-02,126.29512274891036
2024-02-05,126.5526555477733
2024-02-06,128.59921193045875
2024-02-07,130.40697237132989
2024-02-08,129.3028605652115
2024-02-09,130.40678285957483
2024-02-12,131.64245513409867
2024-02-13,135.1419216989237
2024-02-14,134.76513610749063
2024-02-15,135.2266427010428
2024-02-16,134.97970459327098
2024-02-19,136.01743063618076
2024-02-20,138.11886888594572
2024-02-21,136.7733933874387
2024-02-22,140.5423119940043
2024-02-23,143.26462123090548
2024-02-26,138.7343518226644
2024-02-27,135.49984016747044
2024-02-28,134.82613636740635
2024-02-29,131.8296396489062
2024-03-01,134.4029245930197
2024-03-04,134.5505068042546
2024-03-05,135.4405775711146
2024-03-06,135.93177849423648
2024-03-07,135.54903813104633
2024-03-08,136.04635585916438
2024-03-11,134.25111197329818
2024-03-12,135.77716840579552
2024-03-13,137.15411244847888
2024-03-14,136.94326768593697
2024-03-15,138.21522203011375
2024-03-18,135.32648212421427
2024-03-19,139.64027488078446
2024-03-20,148.47935566082734
2024-03-21,146.1401933026996
2024-03-22,149.3256223502777
2024-03-25,152.74772962066152
2024-03-26,149.4545026943579
2024-03-27,148.52445225249073
2024-03-28,149.74348345326766
2024-03-29,155.58545659627575
2024-04-01,154.18456714090868
2024-04-02,154.07699065969217
2024-04-03,156.13533820694622
2024-04-04,153.77690017232774
2024-04-05,150.7629990101809
2024-04-08,153.6574751676673
2024-04-09,151.75023353192412
2024-04-10,152.46962170231734
2024-04-11,155.169391435866
2024-04-12,156.36238618699053
2024-04-15,157.253952668148
2024-04-16,153.85027702609457
2024-04-17,153.55423840126562
2024-04-18,156.0679319855445
2024-04-19,153.1505032683512
2024-04-22,153.68312811397342
2024-04-23,153.88581999236095
2024-04-24,158.0816821996363
2024-04-25,155.7534999747988
2024-04-26,155.1734686742853
2024-04-29,152.38612933489213
2024-04-30,152.52063860386608
2024-05-01,150.02609275722034
2024-05-02,153.18911631127267
2024-05-03,153.0776973371625
2024-05-06,150.8452244064138
2024-05-07,149.7878515375904
2024-05-08,144.88265439436225
2024-05-09,149.3630734168185
2024-05-10,150.17490094998024
2024-05-13,149.91771239998096
2024-05-14,147.79899821194272
2024-05-15,147.56873172060733
2024-05-16,146.62692315878135
2024-05-17,146.90172377598537
2024-05-20,143.45477564029787
2024-05-21,150.018858597151
2024-05-22,153.65578659460198
2024-05-23,154.98782572518505
2024-05-24,156.35705876808146
2024-05-27,155.55210642841655
2024-05-28,154.91560422019845
2024-05-29,150.83401601837258
2024-05-30,154.91898029973075
2024-05-31,153.91010318907007
2024-06-03,157.87738184962
2024-06-04,157.1502210978215
2024-06-05,159.98512810758882
2024-06-06,162.053444131812
2024-06-07,160.30504969037514
2024-06-10,163.2129668625448
2024-06-11,162.4611805675106
2024-06-12,167.85891913164295
2024-06-13,168.14566476937713
2024-06-14,164.2653022881383
2024-06-17,166.65606213734137
2024-06-18,171.3148523857372
2024-06-19,169.25952605740818
2024-06-20,167.18620015096175
2024-06-21,165.441086912387
2024-06-24,159.45011590558477
2024-06-25,154.21822963190914
2024-06-26,154.4891442399833
2024-06-27,158.17385598479663
2024-06-28,158.82161438710438
2024-07-01,162.94594384873633
2024-07-02,165.80720221080787
2024-07-03,158.97314543326522
2024-07-04,161.3641606317362
2024-07-05,163.25995672710178
2024-07-08,163.66306343182333
2024-07-09,160.7377533541528
2024-07-10,162.79683247598504
2024-07-11,165.907348326438
2024-07-12,163.3082780905624
2024-07-15,159.81463541982367
2024-07-16,159.96087511804137
